['From', 'NULL']
[' ', 'NULL']
['wmcguire', 'NULL']
['world', 'NULL']
['std', 'NULL']
['com', 'NULL']
[' ', 'NULL']
['Wayne', 'NULL']
['McGuire', 'NULL']
[' ', 'NULL']
['To', 'NULL']
[' ', 'NULL']
['talk', 'NULL']
['politics', 'NULL']
['mideast', 'NULL']
['Subject', 'NULL']
[' ', 'NULL']
['The', 'NULL']
['End', 'NULL']
['of', 'NULL']
['Zionism', 'NORP']
[' ', 'NULL']
['Yet', 'NULL']
['Another', 'NULL']
['Failed', 'NULL']
['Messianic', 'NULL']
['Movement', 'NULL']
[' ', 'NULL']
['Organization', 'NULL']
[' ', 'NULL']
['The', 'NULL']
['World', 'NULL']
['Public', 'NULL']
['Access', 'NULL']
['UNIX', 'NULL']
[' ', 'NULL']
['Brookline', 'NULL']
[' ', 'NULL']
['MA', 'NULL']
['Date', 'NULL']
[' ', 'NULL']
['Tue', 'NULL']
['   ', 'NULL']
['Aug', 'NULL']
['    ', 'NULL']
['GMT', 'NULL']
['Lines', 'NULL']
['  ', 'NULL']
['With', 'NULL']
['all', 'NULL']
['due', 'NULL']
['humility', 'NULL']
['and', 'NULL']
['modesty', 'NULL']
['I', 'NULL']
['want', 'NULL']
['to', 'NULL']
['announce', 'NULL']
['that', 'NULL']
['the', 'NULL']
['post', 'NULL']
['below', 'NULL']
['is', 'NULL']
['probably', 'NULL']
['one', 'NULL']
['of', 'NULL']
['the', 'NULL']
['most', 'NULL']
['important', 'NULL']
['posts', 'NULL']
['you', 'NULL']
['ll', 'NULL']
['ever', 'NULL']
['read', 'NULL']
['in', 'NULL']
['talk', 'NULL']
['politics', 'NULL']
['mideast', 'NULL']
[' ', 'NULL']
['There', 'NULL']
[' ', 'NULL']
['that', 'NULL']
['should', 'NULL']
['take', 'NULL']
['care', 'NULL']
['of', 'NULL']
['the', 'NULL']
['levity', 'NULL']
['for', 'NULL']
['the', 'NULL']
['day', 'NULL']
['It', 'NULL']
['is', 'NULL']
['a', 'NULL']
['message', 'NULL']
['I', 'NULL']
['posted', 'NULL']
['to', 'NULL']
['someone', 'NULL']
['on', 'NULL']
['another', 'NULL']
['network', 'NULL']
[' ', 'NULL']
['and', 'NULL']
['sums', 'NULL']
['up', 'NULL']
['a', 'NULL']
['whole', 'NULL']
['lot', 'NULL']
['of', 'NULL']
['reading', 'NULL']
['and', 'NULL']
['thinking', 'NULL']
['I', 'NULL']
['ve', 'NULL']
['been', 'NULL']
['doing', 'NULL']
['about', 'NULL']
['the', 'NULL']
['Mideast', 'NULL']
['and', 'NULL']
['Israel', 'NULL']
['for', 'NULL']
['a', 'NULL']
['few', 'NULL']
['years', 'NULL']
['now', 'NULL']
[' ', 'NULL']
['Previous', 'NULL']
['discussions', 'NULL']
['here', 'NULL']
['in', 'NULL']
['TPM', 'NULL']
[' ', 'NULL']
['particularly', 'NULL']
['interactions', 'NULL']
['with', 'NULL']
['ardent', 'NULL']
['pro', 'NULL']
['Israel', 'NULL']
['partisans', 'NULL']
[' ', 'NULL']
['helped', 'NULL']
['clarify', 'NULL']
['my', 'NULL']
['thoughts', 'NULL']
['For', 'NULL']
['a', 'NULL']
['number', 'NULL']
['of', 'NULL']
['years', 'NULL']
['now', 'NULL']
['I', 'NULL']
['ve', 'NULL']
['been', 'NULL']
['noticing', 'NULL']
['with', 'NULL']
['increasing', 'NULL']
['attention', 'NULL']
['the', 'NULL']
['remarkable', 'NULL']
['resemblances', 'NULL']
['between', 'NULL']
['Zionism', 'NORP']
['and', 'NULL']
['earlier', 'NULL']
['episodes', 'NULL']
['of', 'NULL']
['messianic', 'NULL']
[' ', 'NULL']
['and', 'NULL']
['always', 'NULL']
['disastrous', 'NULL']
[' ', 'NULL']
['outbursts', 'NULL']
['in', 'NULL']
['Jewish', 'NORP']
['history', 'NULL']
[' ', 'NULL']
['but', 'NULL']
['wasn', 'NULL']
['t', 'NULL']
['quite', 'NULL']
['prepared', 'NULL']
['to', 'NULL']
['make', 'NULL']
['the', 'NULL']
['leap', 'NULL']
['that', 'NULL']
['Zionism', 'NORP']
['as', 'NULL']
['a', 'NULL']
['whole', 'NULL']
['fit', 'NULL']
['the', 'NULL']
['model', 'NULL']
[' ', 'NULL']
['I', 'NULL']
['thought', 'NULL']
['that', 'NULL']
['the', 'NULL']
['dangerous', 'NULL']
['messianic', 'NULL']
['elements', 'NULL']
['were', 'NULL']
['mostly', 'NULL']
['on', 'NULL']
['the', 'NULL']
['religious', 'NULL']
['right', 'NULL']
[' ', 'NULL']
['and', 'NULL']
['could', 'NULL']
['be', 'NULL']
['safely', 'NULL']
['isolated', 'NULL']
[' ', 'NULL']
['But', 'NULL']
['the', 'NULL']
['more', 'NULL']
['I', 'NULL']
['read', 'NULL']
[' ', 'NULL']
['the', 'NULL']
['more', 'NULL']
['I', 'NULL']
['realized', 'NULL']
['that', 'NULL']
['messianism', 'NULL']
['permeated', 'NULL']
['the', 'NULL']
['Israeli', 'NULL']
['left', 'NULL']
['as', 'NULL']
['much', 'NULL']
['as', 'NULL']
['the', 'NULL']
['Israeli', 'NULL']
['right', 'NULL']
[' ', 'NULL']
['and', 'NULL']
['that', 'NULL']
['the', 'NULL']
['entire', 'NULL']
['Zionist', 'NORP']
['enterprise', 'NULL']
['is', 'NULL']
['fundamentally', 'NULL']
['messianic', 'NULL']
['in', 'NULL']
['its', 'NULL']
['outlook', 'NULL']
['and', 'NULL']
['foundations', 'NULL']
['The', 'NULL']
